OBJECTID,access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,maximum_vehicle_class,open_date,owner_type_code,related_stations,restricted_access,status_code,funding_sources,facility_type,station_name,station_phone,updated_at,geocode_status,latitude,longitude,city,country,intersection_directions,plus4,state,street_address,zip,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_has_rng,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,ev_workplace_charging,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_has_rng,lng_renewable_source,lng_vehicle_class,lpg_nozzle_types,lpg_primary,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blended_with_biodiesel,rd_blends,rd_blends_fr,rd_max_biodiesel_level,nps_unit_name,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,ev_charging_units,federal_agency_id,federal_agency_code,federal_agency_name,ev_network_ids_station,ev_network_ids_posts,x,y
11347,public,24 hours daily,,A Cash D Debit M V Wright_Exp,9/12/2025 12:00:00 AM,,E85,Public,92132,MD,2/15/2018 12:00:00 AM,P,[],0,E,,CONVENIENCE_STORE,Gas N Wash - Shorewood,815-280-6590,9/12/2025 9:23:31 PM,200-8,41.5209,-88.21873,Shorewood,US,,,IL,1201 W Jefferson St,60404,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,,None,,,,,,-9820464.102,5089480.5792
11367,public,24 hours daily,,,12/1/2025 12:00:00 AM,,ELEC,Public,92324,,3/7/2018 12:00:00 AM,,[],0,E,,,ADVOCATE CHRIST GARAGE A,888-758-4389,12/1/2025 1:06:58 AM,GPS,41.721922,-87.732853,Oak Lawn,US,5th Floor Parking Garage A. Off Kostner Ave.,,IL,4440 95th St,60453,,,,,,,,,,,,[""J1772""],,,2,ChargePoint Network,https://www.chargepoint.com,,,,0,,,,,,,,,,,,,,,,,,,,,Public,,"[{'network': 'ChargePoint Network', 'connectors': {'J1772': {'power_kw': 6.5, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}, {'network': 'ChargePoint Network', 'connectors': {'J1772': {'power_kw': 6.5, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}]",,,,[""USCPIL284141""],"[""23472701"",""23472711""]",-9766376.5218,5119415.2969
11488,public,6am-10pm daily,,A Cash CREDIT D Debit M V Voyager Wright_Exp,7/3/2025 12:00:00 AM,,E85,Public,94614,MD,3/15/2019 12:00:00 AM,P,[],0,E,,CONVENIENCE_STORE,Meijer Gas #301,779-301-8229,7/3/2025 7:13:02 PM,200-8,41.159213,-87.850974,Bradley,US,,,IL,1010 N Kinzie Ave,60915,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,,None,,,,,,-9779525.6914,5035853.9845
11593,public,24 hours daily,,,12/1/2025 12:00:00 AM,,ELEC,Public,95170,,12/31/2015 12:00:00 AM,,[],0,E,,,Mariano's - Frankfort IL,888-998-2546,12/1/2025 12:38:00 AM,GPS,41.50691586,-87.8029832,Frankfort,US,,,IL,21001 S LaGrange Rd,60423,,,,,,,,,,,,[""J1772""],,,1,Blink Network,https://blinkcharging.com,,Free,,0,,,,,,,,,,,,,,,,,,,,,Public,,"[{'network': 'Blink Network', 'connectors': {'J1772': {'power_kw': 8.6, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}]",,,,[""465ba1dd-d734-8158-93cc-330000247490""],[""c98a8bf8-b77e-9b17-0ec0-d23e586516bd""],-9774183.38,5087401.6288
11699,public,24 hours daily,,,12/1/2025 12:00:00 AM,,ELEC,Public,96269,,7/15/2012 12:00:00 AM,,[],0,E,,,The RDI Group,888-998-2546,12/1/2025 12:34:10 AM,GPS,41.983917,-88.028338,Itasca,US,,,IL,1025 W Thorndale Ave,60143,,,,,,,,,,,,[""J1772""],,,2,Blink Network,https://blinkcharging.com,,Free,,0,,,,,,,,,,,,,,,,,,,,,Public,,"[{'network': 'Blink Network', 'connectors': {'J1772': {'power_kw': 11.5, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}, {'network': 'Blink Network', 'connectors': {'J1772': {'power_kw': 13.0, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}]",,,,[""465ba1dd-d734-8158-93cc-330000094707""],"[""15c3608b-00df-f4c4-0298-0f3ba627a409"",""bc45bb12-0400-42fb-a720-f5abc61a4867""]",-9799269.7615,5158570.593
11716,public,24 hours daily,,,12/1/2025 12:00:00 AM,,ELEC,Public,96538,,8/12/2016 12:00:00 AM,,[],0,E,,,McDonald's - Highland Park,888-998-2546,12/1/2025 12:36:44 AM,GPS,42.18876,-87.801595,Highland Park,US,,,IL,1988 1st Street,60035,,,,,,,,,,,,[""J1772""],,,1,Blink Network,https://blinkcharging.com,,Free,,0,,,,,,,,,,,,,,,,,,,,,Public,,"[{'network': 'Blink Network', 'connectors': {'J1772': {'power_kw': 6.5, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}]",,,,[""465ba1dd-d734-8158-93cc-330000277393""],[""f524670e-e464-4d6d-ad8d-1510d74c0724""],-9774028.8462,5189296.8486
11844,public,24 hours daily,,A Cash D M V Voyager Wright_Exp,10/11/2024 12:00:00 AM,,BD,Public,98623,MD,5/15/2018 12:00:00 AM,P,"[""{'id': 51628, 'access_code': 'public', 'fuel_type_code': 'E85'}""]",0,E,,CONVENIENCE_STORE,Thorntons #115,847-516-2210,11/18/2025 10:04:30 PM,200-8,42.218188,-88.258297,Cary,US,,,IL,800 NW Hwy,60013,B20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,,None,,,,,,-9824868.6803,5193719.1891
11845,public,24 hours daily,,A Cash D Debit M V Voyager Wright_Exp,10/11/2024 12:00:00 AM,,E85,Public,98624,MD,5/15/2018 12:00:00 AM,P,[],0,E,,CONVENIENCE_STORE,Thorntons #119,847-458-0470,11/18/2025 10:05:43 PM,200-8,42.17506,-88.33012,Lake in the Hills,US,,,IL,2265 W Algonquin Rd,60156,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,,None,,,,,,-9832863.9801,5187238.7611
11850,public,24 hours daily,,A Cash D Debit M V Voyager Wright_Exp,10/11/2024 12:00:00 AM,,E85,Public,98631,MD,5/15/2018 12:00:00 AM,P,[],0,E,,CONVENIENCE_STORE,Thorntons #322,773-523-2030,11/18/2025 9:19:09 PM,200-8,41.83056,-87.69573,Chicago,US,,,IL,3450 S California Ave,60632,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,,None,,,,,,-9762244.0083,5135631.8491
11887,public,Dealership business hours,CALL,,2/12/2024 12:00:00 AM,,ELEC,Public - Call ahead,98760,LD,6/6/2018 12:00:00 AM,P,"[""{'id': 98761, 'access_code': 'private', 'fuel_type_code': 'ELEC'}""]",0,E,,CAR_DEALER,Berman Nissan - Chicago,773-295-4650,2/12/2025 12:16:32 AM,GPS,41.943587,-87.708212,Chicago,US,,,IL,3456 N Kedzie Ave,60618,,,,,,,,,,,,"[""CHADEMO"",""J1772""]",1,,1,Non-Networked,,,Free,,0,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,"[{'network': 'Non-Networked', 'connectors': {'J1772': {'power_kw': None, 'port_count': 0}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': 50.0, 'port_count': 1}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': 'dc_fast', 'funding_sources': []}, {'network': 'Non-Networked', 'connectors': {'J1772': {'power_kw': None, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}]",,,,,,-9763633.4982,5152532.7924
11888,private,,,,2/12/2024 12:00:00 AM,,ELEC,Private,98761,,6/6/2018 12:00:00 AM,P,"[""{'id': 98760, 'access_code': 'public', 'fuel_type_code': 'ELEC'}""]",,E,,CAR_DEALER,Berman Nissan - Chicago,773-295-4650,2/12/2025 12:16:32 AM,GPS,41.943587,-87.708212,Chicago,US,,,IL,3456 N Kedzie Ave,60618,,,,,,,,,,,,[""J1772""],,,1,Non-Networked,,,,,0,,,,,,,,,,,,,,,,,,,,,Privé,,"[{'network': 'Non-Networked', 'connectors': {'J1772': {'power_kw': None, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}]",,,,,,-9763633.4982,5152532.7924
11909,public,24 hours daily,,,12/1/2025 12:00:00 AM,,ELEC,Public,98815,,6/9/2018 12:00:00 AM,,[],0,E,,,ESPLANADE_LP ESPLANADE 2001,888-758-4389,12/1/2025 1:00:42 AM,GPS,41.830267,-88.032935,Downers Grove,US,"Located At 2001 Butterfield Rd Garage Entry to Building on P5 , accessible via P4 or P5 elevator lobby",,IL,2001 Butterfield Rd,60515,,,,,,,,,,,,[""J1772""],,,2,ChargePoint Network,https://www.chargepoint.com,,,,0,,,,,,,,,,,,,,,,,,,,,Public,,"[{'network': 'ChargePoint Network', 'connectors': {'J1772': {'power_kw': 6.5, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}, {'network': 'ChargePoint Network', 'connectors': {'J1772': {'power_kw': 6.5, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}]",,,,[""USCPIL164715""],"[""25021671"",""25021681""]",-9799781.4972,5135588.0756
11949,public,24 hours daily,,,12/1/2025 12:00:00 AM,,ELEC,Public,99352,,6/17/2018 12:00:00 AM,,[],0,E,,,TRITON TRITON BLDG B,888-758-4389,12/1/2025 1:09:18 AM,GPS,41.914531,-87.842204,River Grove,US,Side of building B,,IL,Hemingway Dr,60171,,,,,,,,,,,,[""J1772""],,,2,ChargePoint Network,https://www.chargepoint.com,,,,0,,,,,,,,,,,,,,,,,,,,,Public,,"[{'network': 'ChargePoint Network', 'connectors': {'J1772': {'power_kw': 6.5, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}, {'network': 'ChargePoint Network', 'connectors': {'J1772': {'power_kw': 6.5, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}]",,,,[""USCPIL488701""],"[""22414671"",""22414681""]",-9778549.4194,5148185.188
12090,public,24 hours daily,,A Cash D Debit M V,9/12/2025 12:00:00 AM,,E85,Public,100219,MD,7/15/2018 12:00:00 AM,P,[],0,E,,CONVENIENCE_STORE,Mobil - S & J,773-874-0111,9/12/2025 9:23:31 PM,200-8,41.75619,-87.62423,Chicago,US,,,IL,7601 S State St,60619,,,,,,,,,,1,[""E15""],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,,None,,,,,,-9754284.6648,5124527.5663
12155,public,24 hours daily,,,12/1/2025 12:00:00 AM,,ELEC,Public,100566,,8/30/2018 12:00:00 AM,,[],0,E,,,HARPER COLLEGE LOT 1,888-758-4389,12/1/2025 1:11:01 AM,GPS,42.07948,-88.074352,Palatine,US,,,IL,Kris Howard Dr,60067,,,,,,,,,,,,[""J1772""],,,2,ChargePoint Network,https://www.chargepoint.com,,,,0,,,,,,,,,,,,,,,,,,,,,Public,,"[{'network': 'ChargePoint Network', 'connectors': {'J1772': {'power_kw': 6.5, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}, {'network': 'ChargePoint Network', 'connectors': {'J1772': {'power_kw': 6.5, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}]",,,,[""USCPIL623441""],"[""841461"",""841471""]",-9804392.0166,5172892.6079
12314,public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,,7/1/2024 12:00:00 AM,,ELEC,Public,102152,,7/23/2018 12:00:00 AM,P,[],,E,,,Woodman's Markets - Tesla Supercharger,877-798-3752,5/6/2025 9:07:47 PM,200-8,41.802949,-88.370249,North Aurora,US,,,IL,151 Hansen Blvd,60542,,,,,,,,,,,,[""TESLA""],16,,,Tesla,https://www.tesla.com/supercharger,,,,0,,,,,,,,,,,,,,,,,,,,,Public,,"[{'network': 'Tesla', 'connectors': {'J1772': {'power_kw': None, 'port_count': 0}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': 150.0, 'port_count': 1}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': 'dc_fast', 'funding_sources': []}, {'network': 'Tesla', 'connectors': {'J1772': {'power_kw': None, 'port_count': 0}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': 150.0, 'port_count': 1}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': 'dc_fast', 'funding_sources': []}, {'network': 'Tesla', 'connectors': {'J1772': {'power_kw': None, 'port_count': 0}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': 150.0, 'port_count': 1}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': 'dc_fast', 'funding_sources': []}, {'network': 'Tesla', 'connectors': {'J1772': {'power_kw': None, 'port_count': 0}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': 150.0, 'port_count': 1}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': 'dc_fast', 'funding_sources': []}, {'network': 'Tesla', 'connectors': {'J1772': {'power_kw': None, 'port_count': 0}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': 150.0, 'port_count': 1}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': 'dc_fast', 'funding_sources': []}, {'network': 'Tesla', 'connectors': {'J1772': {'power_kw': None, 'port_count': 0}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': 150.0, 'port_count': 1}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': 'dc_fast', 'funding_sources': []}, {'network': 'Tesla', 'connectors': {'J1772': {'power_kw': None, 'port_count': 0}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': 150.0, 'port_count': 1}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': 'dc_fast', 'funding_sources': []}, {'network': 'Tesla', 'connectors': {'J1772': {'power_kw': None, 'port_count': 0}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': 150.0, 'port_count': 1}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': 'dc_fast', 'funding_sources': []}, {'network': 'Tesla', 'connectors': {'J1772': {'power_kw': None, 'port_count': 0}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': 150.0, 'port_count': 1}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': 'dc_fast', 'funding_sources': []}, {'network': 'Tesla', 'connectors': {'J1772': {'power_kw': None, 'port_count': 0}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': 150.0, 'port_count': 1}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': 'dc_fast', 'funding_sources': []}, {'network': 'Tesla', 'connectors': {'J1772': {'power_kw': None, 'port_count': 0}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': 150.0, 'port_count': 1}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': 'dc_fast', 'funding_sources': []}, {'network': 'Tesla', 'connectors': {'J1772': {'power_kw': None, 'port_count': 0}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': 150.0, 'port_count': 1}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': 'dc_fast', 'funding_sources': []}, {'network': 'Tesla', 'connectors': {'J1772': {'power_kw': None, 'port_count': 0}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': 150.0, 'port_count': 1}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': 'dc_fast', 'funding_sources': []}, {'network': 'Tesla', 'connectors': {'J1772': {'power_kw': None, 'port_count': 0}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': 150.0, 'port_count': 1}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': 'dc_fast', 'funding_sources': []}, {'network': 'Tesla', 'connectors': {'J1772': {'power_kw': None, 'port_count': 0}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': 150.0, 'port_count': 1}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': 'dc_fast', 'funding_sources': []}, {'network': 'Tesla', 'connectors': {'J1772': {'power_kw': None, 'port_count': 0}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': 150.0, 'port_count': 1}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': 'dc_fast', 'funding_sources': []}]",,,,,,-9837331.12,5131507.7103
